ObjectID,NAME,CNTY_FIPS,FIPS,POP2010,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP
3011,Washington,131,55131,131887,126317,1155,401,1415,30,3385,1052,1517,65393,66494,8179,9028,9487,8490,5920,14751,18562,22805,16862,9496,5806,2501
3012,Ozaukee,089,55089,86395,82010,1177,208,1509,20,1956,483,988,42340,44055,4548,5619,6221,6170,4234,8095,11016,15072,12212,6909,4422,1877
3023,Dane,025,55025,488073,413631,25347,1730,23035,166,28925,12064,12100,241411,246662,30240,29874,28873,32869,47252,78853,64784,68809,56375,26559,15811,7774
3027,Jefferson,055,55055,83686,78632,681,257,560,18,5555,2479,1059,41638,42048,5235,5590,5537,6648,5436,10074,11056,12747,10321,6103,3441,1498
3028,Waukesha,133,55133,389891,363963,4914,1066,10721,131,16123,4041,5055,191355,198536,21474,26223,28181,26509,18304,40172,51771,68404,53165,28754,19025,7909
3029,Milwaukee,079,55079,947735,574656,253764,6808,32422,363,126039,51429,28293,457717,490018,69364,64289,63132,69912,77957,146338,119301,127190,101119,51884,38262,18987
3043,Green,045,55045,36842,35593,140,65,198,11,1033,490,345,18241,18601,2354,2508,2511,2371,1599,4126,4901,6069,4906,2765,1854,878
3044,Rock,105,55105,160331,140513,7978,516,1630,39,12124,5948,3707,78815,81516,10445,11116,11427,11581,9409,20159,21393,24117,18925,11466,7256,3037
3045,Walworth,127,55127,102228,93935,980,308,845,43,10578,4604,1513,51237,50991,6196,6768,6796,7588,8684,11470,12714,15568,12687,7362,4401,1994
3046,Racine,101,55101,195408,155731,21767,781,2121,53,22546,10046,4909,96771,98637,12747,13233,13991,13228,11189,23796,25736,31778,23971,13402,8491,3846
3055,Kenosha,059,55059,166426,139416,11052,814,2393,89,19592,7880,4782,82444,83982,10995,11850,12310,13029,11307,20873,23207,26162,18014,9740,6142,2797
